MONTH,DIE_CLASS_CODE,WAFER_ID,PRIORITY,ROUTING CODE,OWNER,5G,MODULE,GPDW
Apr-21,2SU1-1701,N2167-E050,Normal,PSAW-PROBE (THIN),Rajamannan,NO,CHDR,37096
Apr-21,2SU1-1701,N2167-E203,Normal,PSAW-PROBE (THIN),Rajamannan,NO,CHDR,37096
Apr-21,2SR7-1702,N9875-1160,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2SR7-1702,N9875-1204,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2SR7-1702,N9875-1209,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2SR7-1702,N9875-1211,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2SR7-1702,N9875-1212,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2SR7-1702,N9875-1213,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2SR7-1702,N9875-1214,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2SR7-1702,N9875-1215,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2SR7-1702,N9875-1276,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2SR7-1702,N9875-1358,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2SR7-1702,N9875-1359,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2SR7-1702,N9875-1362,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2SR7-1702,N9875-1370,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2SR7-1702,N9875-1372,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2SR7-1702,N9875-1373,Normal,PROBE-PSAW NPAD.2 (THIN),Chan Mei Kiong,NO,CALDER,56612
Apr-21,2RT7-1708,N7914-6062,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,64829
