MONTH,DIE_CLASS_CODE,WAFER_ID,PRIORITY,ROUTING CODE,OWNER,5G,MODULE,GPDW
May-21,2SL3-1701,N1947-4218,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4219,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4220,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4222,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4225,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4226,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4267,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SL3-1701,N1947-4273,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66428
May-21,2SU9-1701,N9435-1055,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
May-21,2SU9-1701,N9435-1103,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
May-21,2SU9-1701,N9435-1104,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
May-21,2SU9-1701,N9435-1126,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
May-21,2SU9-1701,N9435-1130,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
May-21,2SU9-1701,N9435-1257,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
May-21,2SU9-1701,N9435-1272,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
May-21,2SU9-1701,N9435-1282,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
May-21,2SU9-1701,N9435-1283,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
May-21,2ST4-1701,N9522-4015,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,EDAM,33216
May-21,2ST4-1701,N9522-4049,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,EDAM,33216
May-21,2ST4-1701,N9522-4176,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,EDAM,33216
May-21,2ST4-1701,N9522-4281,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,EDAM,33216
May-21,2ST4-1701,N9522-6036,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,EDAM,33216
May-21,2ST4-1701,N9522-6072,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,EDAM,33216
May-21,2ST4-1701,N9522-6073,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,EDAM,33216
May-21,2ST4-1701,N9522-6074,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,EDAM,33216
May-21,2SP3-1701,N6739-3055,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,NHAWK,73300
May-21,2SP3-1701,N6739-3059,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,NHAWK,73300
May-21,2SP3-1701,N6739-3127,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,NHAWK,73300
May-21,2SP3-1701,N6739-3130,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,NHAWK,73300
May-21,2SP3-1701,N6739-3161,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,NHAWK,73300
May-21,2SP3-1701,N6739-3166,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,NHAWK,73300
May-21,2SP4-1701,N6740-2088,Normal,PSAW-PROBE (THIN),Rajamannan,YES,NHAWK,82460
May-21,2SP4-1701,N6740-2122,Normal,PSAW-PROBE (THIN),Rajamannan,YES,NHAWK,82460
